"id","description","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_verifications","host_identity_verified","neighbourhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","guests_included","minimum_nights","number_of_reviews","review_scores_rating","cancellation_policy","reviews_per_month","price"
"16553353","My place is close to and conveniently located near Juniper Valley Park and the Q38 bus stop (connection to M Train) and Q47 (direct bus line to LGA airport and E, F, M, R , and 7 trains. The 7 Train goes directly to the Jacob Javits Center. The Q29 bus goes to the R train and Queens Center Mall.  There is plentiful FREE parking just steps from our family home.  舒适的房间,靠近公园,位于纽约最安全的社区之一。Cómodas habitaciones, cerca del parque, una de las comunidades más seguras de NYC. Our guest room for a single (1) person has a comfy, full size bed with crisp clean sheets in a quiet and safe area in Middle Village Queens. It's conveniently located across the street from a bus stop to the subway going to Manhattan and directly to LGA airport. Our home is also IDEALLY located for those attending the US Open at Flushing Meadows Corona Park or a Mets game at Citifield. ★ The Check In time is between 3PM and 10PM and Check out time is before 12 PM. Our guest(s) will be able to access our kitchen (refrigerato","48983104","2015-11-13","within an hour","100%","","f","3.0","{email, phone, reviews, kba}","t","Middle Village","House","Private room","1","1.0","1.0","1.0","Real Bed","{Internet,Wireless Internet,Kitchen,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator}","1","2","6.0","83.0","strict","2.69","$50.00"
"3673938","My place is good for single travelers who need a place to stay for 5 days or more.   Cozy private guest room in  3 bedroom apartment.  This is a home, not a hotel.  Shared Kitchen/ Common area and bathroom.     Just a few blocks away from Pratt Institute and the bars, grocery stores and restaurants on the Myrtle Ave strip.  Citibike point directly in front of building.  15 min walk to Fort Greene Park, 30 min walk to Downtown Brooklyn (or 15 min Bike/Bus ride).  Close to G train stops.","4578923","2013-01-03","within a day","90%","","f","1.0","{email, phone, reviews, kba, work_email}","t","Bedford-Stuyvesant","Apartment","Private room","1","1.0","1.0","1.0","Real Bed","{Wireless Internet,Kitchen,Heating,Essentials}","1","5","2.0","100.0","moderate","1.62","$50.00"
"3511898","Our sweet and cozy apartment is located on a one-way street, in trendy Greenpoint — a super cool and safe neighborhood conveniently located near restaurants, bars, cafes, delis, parks and live music venues. 20 min to Manhattan. 5 min walk to the G train, 12 min walk to the 7 train. The apartment is on the 2nd floor of a 3 story wood building on a quiet street just off Greenpoint's Manhattan Ave.  The apartment is a typical Brooklyn railroad apartment (meaning that it is long and narrow, where one room leads to the next). It has a kitchen, a small dining area, an office nook, a small elevated bed area, a living room with folding sofa-bed and a bathroom. You will have the whole apartment for yourself : ) The apartment is perfect for a single occupant, or couple. Guests will have access to all of the apartment except for some designated storage areas where we will store our personal belongings. You will have the whole apartment to yourself!  We will leave the apartment nice and clean. We ","17682043","2014-07-05","","","","f","1.0","{email, phone, reviews, jumio}","t","Greenpoint","Apartment","Entire home/apt","2","1.0","2.0","2.0","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,First aid kit,Fire extinguisher,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_50}","2","20","5.0","96.0","strict","0.14","$85.00"
"1390964","Duplex   with Garden and roof deck,  in landmark district of MOTT HAVEN /SOUTH BRONX Our home sits In the middle of a landmarked street opposite a small gospel church. it's 1 Subway stop from Manhattan and 25 minutes by train to Union Square. It's a peaceful neighborhood, with great people, but not a lot of hip amenities. The duplex  is a 1400 sqf One bedroom apartment,  with a large open plan living room/kitchen, opening up to the terrace and garden. Southern eastern and western exposure, lots of light. Upstairs is the bedroom and a full bathroom with double sink,  rain shower and a cast iron claw foot tub. There is Wifi throughout the house,  Laundry Room in the basement,  and the house is fully alarm protected, if needed. The place is well suited for a couple exploring New York and appreciating at the end of the day  a retreat from the hustle of the city . TRANSPORTATION: 6 train at 138th/Brook ave or 2 or 5 train at 149th street 1 Subway stop from Manhattan and 25 minutes by train ","1651080","2012-01-25","","","","f","1.0","{email, phone, facebook, reviews, kba}","t","Mott Haven","Apartment","Entire home/apt","2","1.5","1.0","1.0","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace}","2","7","1.0","100.0","strict","0.03","$180.00"
"15875061","Beautiful and spacious one bedroom in a brownstone located in the charming Windsor Terrace/Park Slope neighborhood, 2 blocks from Prospect Park, the F train, restaurants and shops. Newly painted and furnished, with no personal affects/clutter, this super clean space has vintage mid-century furniture, Hotel Collection bedding, a full kitchen, and washer/dryer. Perfect for couples or for grandparents looking to set up a home base close to their grandchildren. 1000 sq/ft. Apartment is the entire bottom floor of a three floor townhouse. We live on the top two floors with our two children. The unit is completely separate with its own private entrance and doors, but we are onsite if guests have questions or need anything. Please note, as this apartment is located above our home, guests should expect to hear a little normal, real-life noise, especially in the mornings and evenings. Guests can come and go whenever they want. Apartment has its own private entrance with door and safety gate and ","73175609","2016-05-21","","","","t","1.0","{email, phone, google, amex, reviews, jumio, government_id}","t","Windsor Terrace","Apartment","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","2","32.0","99.0","strict","2.96","$159.00"
"13531132","THE FEE IS FOR 5hr SLOTS ONLY. ADDITIONAL HRS: $100 per HR Backyard: 28' x 38' Backyard Max Capacity: 75 Pool: 13' x 14' x 4' Bathroom and Kitchen Trains:  5 mins. walk from (2)(5) trains 24 mins. to Barclays Center/Atlantic Ave. 50 mins. to Times Square Buses: Local: B11, B41, Q35 Express to Downtown Brooklyn: B103","77778146","2016-06-14","within an hour","100%","","f","8.0","{email, phone, reviews}","f","East Flatbush","Other","Private room","16","1.0","1.0","1.0","Real Bed","{Pool,Kitchen,Suitable for events,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","1","27.0","91.0","strict","1.8","$525.00"
"11434386","Cozy bedroom in an apartment with other roommates who are extremely nice and helpful. The apartment has two full baths and a shared kitchen. Steps away from the subway to take you into Manhattan. We are LGBT, 420 and Dog friendly and we kindly ask that you be ok and aware of these as they will be hard to hide lol. My Dog's name is Mija and she is all bark and absolutely no bite. Once you pet her she will only want cuddles all day everyday. Just a cozy bedroom, has some vintage dressers that I redid and some records for you to enjoy if you want a chill night in. There will be clean sheets and towels for you to use at your will. The closet in the room will be empty for you to hang whatever you need and the dresser will have some empty drawers for you to put your personals in as well. Everything in the house is yours to relax and hangout in. On the first level there is a shared kitchen, full bath, and two living rooms. The second level has a full bath as well. I personally won't be availa","42528376","2015-08-25","within an hour","100%","","f","1.0","{email, phone, reviews, jumio, offline_government_id, government_id, work_email}","f","Ditmars Steinway","Apartment","Private room","2","2.0","1.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Dog(s),Heating,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","2","2","14.0","92.0","moderate","0.83","$45.00"
"16508710","My place is close to Stop&Shop, bodega, bakery, diner, and Mickey D's. . You’ll love my place because of the neighborhood, the comfy bed, the light, the kitchen, and the coziness. My place is good for couples, solo adventurers, business travelers, and furry friends (pets).","20414850","2014-08-22","","","","f","1.0","{email, phone, reviews, kba, work_email}","t","Glendale","Apartment","Private room","2","2.0","1.0","1.0","Real Bed","{TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Lock on bedroom door,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","2","2","2.0","90.0","moderate","0.21","$40.00"
"20011863","NEWLY RENOVATED sunlit intimate FULLY equipped studio in the heart of Ditmas Park/Midwood Brooklyn.  DAILY BREAKFAST INCLUDED! ALL NEW comfortable and modern furniture.  ALEXA (AMAZON ECHO) available for your continued use for music, waking alarms, directions and any other information you'll need during your stay.  Access to NEW MACBOOK PRO w/WIFI FULLY STOCKED refrigerator and cabinets for your cooking needs.  Perfect for solo travelers, business travelers and couples. *FYI: I am a veteran host NEWLY renovated INTIMATE studio with LOTS of SUNLIGHT.  BRAND NEW Alexa (Amazon Echo) in Apartment and available for all of your music, waking alarms, weather report and any other information you'll need for your stay needs. FULLY STOCKED refrigerator available for your use and consumption. Along with seasonings and sauces, pots, pans and utensils! Microwave too! BRAND NEW FULL SIZED pillow top mattress! Not too soft and not too firm. It's just right! Ultra comfy! BRAND NEW microfiber sectional","14157435","2014-04-11","within an hour","100%","","f","2.0","{email, phone, reviews, jumio}","t","Flatlands","Apartment","Entire home/apt","2","1.0","0.0","1.0","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Hair dryer,Iron,Laptop friendly workspace,Private living room,Bathtub,Babysitter recommendations,Room-darkening shades,Hot water,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Long term stays allowed,Wide hallway clearance}","1","2","4.0","100.0","strict","1.85","$75.00"
"13262082","My place is close to everything! It's in the heart of the East Village, surrounded by a ton of great restaurants and bars.  It's also just a few blocks from most Manhattan subway lines, and midway between the Upper West Side and Brooklyn. You’ll love my place because of the neighborhood, and the sunlight.   My place is good for couples, solo adventurers, and business travelers. Note that it's a sixth-floor walk-up though, so be prepared if you want to take strollers in and out.","18056150","2014-07-13","within an hour","100%","","f","1.0","{email, phone, reviews, kba}","t","East Village","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hair dryer}","1","1","1.0","100.0","flexible","0.06","$100.00"
"11257497","Bright, Southeast facing apartment on Fort Washington Avenue, perfect for family with children or family visiting from out of town.  Conveniently located 1 1/2 block away from 181st or 190th street station on A Train, in front of Fort Tryon Park. *1 California king bed with glass sliding door closet  *1 Queen bed with small closet in bedroom *1 Fully Equipped kitchen with espresso machine, appliances, optional child lock cabinets & safety gate *60 Samsung TV with Netflix, Amazon Prime, HBO NOW, Youtube, hulu, 4K   *Laundromat in building with commercial sized machines *Bathroom with rainforest shower & optional toilet training seat *Joovy pack & play & Stokke stroller is available for use ***We have 2 friendly cats that will share their space with you so you must be ok with that*** Entire apartment is yours. Please be courteous of the neighbors - no loud noise after 10pm, as the building & neighborhood is quiet Apartment is on 5th floor in a 6 story building with Elevator We will not ","56066134","2016-01-25","","","","f","1.0","{email, phone, reviews, kba}","t","Washington Heights","Apartment","Entire home/apt","4","1.0","2.0","2.0","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Cat(s),Elevator,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","5","2.0","90.0","strict","0.11","$125.00"
"10072678","Open loft with separate bedroom + private backyard. Fits comfortably a single person or couple. 1 very large and comfortable queen size bed. Private garage space if traveling by car. big open loft fully furnished and artistically decorated. the entire ground floor of the building + private backyard. Washer and dryer available for your laundry in the house as well. access to everything as much as needed great and quite area in brooklyn. shops, deli, restaurants and subway stations at walking distance from the apt. 15 min to manhattan G/A/J subway lines at walking distance. 10 min cab ride to downtown Manhattan (15$) very relax neighborhood with park across the street if you come with kids. If anything else I can provide more info..","50687547","2015-12-06","within a few hours","100%","","f","1.0","{email, phone, reviews, jumio, offline_government_id, government_id}","t","Bedford-Stuyvesant","Loft","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","5","10.0","89.0","strict","0.47","$89.00"
"17252229","Quaint apartment on the second floor in Brooklyn.   1-2 min walking distance from Shepard stop on the C-train. Our home is located on the second floor where you'll have to walk up steps.  The bedroom holds a queens sized bed and the living room has a a twin sized futon.  The kitchen is fully equipped for cooking although there isn't an oven; and you have access to the balcony. You can access everywhere inside the apartment except for the closet in the bed room. I'll be able to greet you upon your arrival.  I'm right next door so I'll be close to accommodate you if needed. Low key Brooklyn neighborhood where you'll gain a real New Yorker's experience. Quiet neighborhood minutes away from tourist attractions. Via Subway: about 30 min away from Clinton hill, Bushwick, Bedstuy in BK about 30 min away from The Barkley Center about 40 min away from Williamsburg in BK  about 45 min away from the Lower East Side, and Chelsea in Manhattan about 45 min away from Wall st. in Manhattan about 1 hr ","116268542","2017-02-13","within a few hours","100%","","f","1.0","{email, reviews}","f","East New York","Apartment","Entire home/apt","3","1.0","1.0","2.0","Real Bed","{Wireless Internet,Kitchen,Heating,Fire extinguisher,Essentials,Shampoo,Hair dryer,translation missing: en.hosting_amenity_49}","1","2","26.0","94.0","moderate","3.55","$62.00"
"18916917","Beautiful cozy 2 bedroom apartment with a greenhouse living room and a balcony attached to it. Steps away from all the popular Indian and Asian restaurants along with lots of bars around the corner. 1 block from subway station. Green house living room Balcony Variety of restaurants close by Kitchen and utensils Bathroom Balcony Living room Always there to help when need be. I live in the same house. Restaurant Bars Away from all the commercial life in nyc Close to the river 6 Subway station at the end of the block","32613511","2015-05-04","","","","f","1.0","{email, phone, facebook, reviews, jumio, offline_government_id, government_id}","t","Midtown","Apartment","Shared room","2","1.0","1.0","1.0","Real Bed","{TV,Internet,Wireless Internet,Kitchen,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","1","1.0","80.0","flexible","0.23","$55.00"
"20601784","This is the best elevator building in Manhattan Chinatown with very convenient location. All major Banks are just downstairs and supermarkets and delicious food too.  Within a 5 minutes walking distance to almost all trains you need in Manhattan on Canal and Grand Street.  Manhattan Bridge is right next to the building and two Citibike stations are also around. The building has a laundry room and a rooftop where you can see the World Trade Center, Brooklyn Bridge, Empire State Building and more! It is originally a one bed room apartment with a huge living room. Now it is a two big bedrooms apartment with a normal size living room separated by screens. I am sharing the one which connected to the living room where I used to live, it has more convenient access to other parts of the apartment.  Another musician -  a composer is living in the bedroom, she is very very quiet and busy due to her work and it is kind of a traditional life of a composer to be carried away in their own room (th","136515207","2017-06-23","within an hour","100%","","f","5.0","{email, phone, reviews, jumio, offline_government_id, selfie, government_id, identity_manual}","f","Chinatown","Apartment","Shared room","1","1.0","1.0","1.0","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Elevator,Hot tub,Heating,Washer,Dryer,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Doorman,Bathtub,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Step-free access,Wide doorway,Flat, smooth pathway to front door,Well-lit path to entrance,Step-free access,Wide doorway,Step-free access,Wide doorway,Fixed grab bars for shower & toilet,Accessible-height toilet,Wide clearance to shower & toilet,Step-free access,Wide entryway,Handheld shower head}","1","1","4.0","100.0","moderate","3.24","$75.00"
