"id","picture_url","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_picture_url","host_total_listings_count","host_verifications","host_identity_verified","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","guests_included","minimum_nights","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month","price"
"4407790","https://a0.muscache.com/im/pictures/6c9b1ef8-41fd-4a6c-82cc-d681e48f6387.jpg?aki_policy=large","16286162","2014-06-02","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/9f6cea33-8e0f-4d24-884d-9d003f269cd6.jpg?aki_policy=profile_x_medium","4","{email, phone, reviews, kba}","t","40.8668196519771","-73.85811594431937","House","Private room","2","1.5","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Stove,Garden or backyard,Luggage dropoff allowed,Cleaning before checkout}","1","2","35","2014-11-01","2017-05-05","95","9","9","10","10","9","10","moderate","0.98","$47.00"
"715270","https://a0.muscache.com/im/pictures/9fc810d5-e811-4851-b4a7-33a89e255902.jpg?aki_policy=large","3684360","2012-09-26","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/3684360/profile_pic/1351002791/original.jpg?aki_policy=profile_x_medium","5","{email, phone, reviews, sent_id}","t","40.859559279042436","-73.8706689777465","Apartment","Private room","3","1.0","1","2","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Family/kid friendly,Smoke detector,First aid kit,Fire extinguisher}","1","2","131","2012-10-20","2017-09-15","90","9","9","9","9","9","9","strict","2.17","$39.00"
"18852048","https://a0.muscache.com/im/pictures/d9f6d83c-60fd-4af0-b7aa-682dc7fb23b4.jpg?aki_policy=large","108922928","2016-12-28","N/A","N/A","N/A","f","https://a0.muscache.com/im/pictures/a1332ff0-5b21-4367-9d7d-00d20b25261e.jpg?aki_policy=profile_x_medium","1","{email, phone, facebook, reviews, work_email}","f","40.859605076873436","-73.86360867022711","House","Private room","2","1.0","1","1","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Hangers,Iron,Laptop friendly workspace,Private living room}","1","3","1","2017-06-01","2017-06-01","100","10","10","10","10","6","10","flexible","0.24","$49.00"
"759901","https://a0.muscache.com/im/pictures/10599319/509fc5e3_original.jpg?aki_policy=large","873273","2011-07-26","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/873273/profile_pic/1355433517/original.jpg?aki_policy=profile_x_medium","4","{email, phone, facebook, amex, reviews, jumio, kba}","t","40.86633066268338","-73.85642849360434","House","Private room","2","1.5","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","5","33","2012-12-01","2017-03-31","93","10","9","10","10","9","9","strict","0.56","$85.00"
"13864221","https://a0.muscache.com/im/pictures/46d5aaf5-c7f2-4061-85b8-fd0418a6f99c.jpg?aki_policy=large","3213737","2012-08-10","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/3213737/profile_pic/1345260096/original.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, kba}","t","40.86065856757863","-73.85413708073744","Apartment","Private room","2","1.0","1","1","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","1","5","2016-08-11","2016-09-27","96","10","10","10","10","9","9","strict","0.36","$50.00"
"12496118","https://a0.muscache.com/im/pictures/9b4a74eb-b6b0-4ddc-af7f-7fc88416681d.jpg?aki_policy=large","11305944","2014-01-14","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/11305944/profile_pic/1442356415/original.jpg?aki_policy=profile_x_medium","3","{email, phone, facebook, reviews, jumio}","t","40.869469115265055","-73.85993496557778","House","Entire home/apt","4","1.0","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Keypad,Private entrance}","2","3","27","2016-05-04","2017-09-16","94","9","9","10","10","9","9","strict","1.56","$105.00"
"13109017","https://a0.muscache.com/im/pictures/a9ad8abf-f9f9-4af9-a27d-5326d4c1c68a.jpg?aki_policy=large","72871708","2016-05-19","within a few hours","100%","N/A","f","https://a0.muscache.com/im/pictures/e0e51317-bd5b-4fcb-9ccd-b095baefd2c0.jpg?aki_policy=profile_x_medium","1","{email, phone, facebook, reviews, jumio, government_id}","t","40.865212524321116","-73.86768102795105","Apartment","Private room","2","1.0","1","2","Real Bed","{Internet,Wireless Internet,Kitchen,Smoking allowed,Gym,Breakfast,Family/kid friendly,Suitable for events,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace}","1","2","9","2016-06-10","2017-09-24","89","10","9","10","10","10","9","strict","0.56","$45.00"
"9513511","https://a0.muscache.com/im/pictures/7a7b1af3-922d-42c6-ac75-fb59c377ada8.jpg?aki_policy=large","49293611","2015-11-17","within a few hours","100%","N/A","f","https://a0.muscache.com/im/pictures/b4d9cf72-b869-4007-9ec4-2e6ec9c7ea4b.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews}","f","40.85753242722044","-73.86605467319971","Apartment","Private room","1","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator,Buzzer/wireless intercom,Heating,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","7","5","2016-07-11","2017-09-29","88","9","10","10","10","9","10","strict","0.33","$70.00"
"10801360","https://a0.muscache.com/im/pictures/543079f0-6358-47e9-a2ac-f83d10e96891.jpg?aki_policy=large","4149899","2012-11-14","within a day","75%","N/A","f","https://a0.muscache.com/im/users/4149899/profile_pic/1400355411/original.jpg?aki_policy=profile_x_medium","2","{email, phone, reviews, kba}","t","40.85959069283521","-73.87006680395139","Apartment","Entire home/apt","2","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Kitchen,Heating,Essentials,Shampoo}","1","3","1","2016-09-07","2016-09-07","100","10","8","10","10","6","10","flexible","0.08","$90.00"
"8294259","https://a0.muscache.com/im/pictures/106983190/4e685bb8_original.jpg?aki_policy=large","11305944","2014-01-14","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/11305944/profile_pic/1442356415/original.jpg?aki_policy=profile_x_medium","3","{email, phone, facebook, reviews, jumio}","t","40.86788702512838","-73.8599936997502","House","Private room","4","1.0","1","1","Real Bed","{TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Keypad}","2","2","23","2015-09-21","2017-09-02","98","10","10","10","10","9","10","moderate","0.93","$63.00"
"182177","https://a0.muscache.com/im/pictures/3070080/756d956d_original.jpg?aki_policy=large","873273","2011-07-26","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/873273/profile_pic/1355433517/original.jpg?aki_policy=profile_x_medium","4","{email, phone, facebook, amex, reviews, jumio, kba}","t","40.864658045324134","-73.85708738793606","Apartment","Entire home/apt","8","1.0","1","3","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Keypad}","4","2","224","2011-09-04","2017-10-02","92","9","9","10","10","9","9","strict","3.02","$125.00"
"17876530","https://a0.muscache.com/im/pictures/6506e47b-65ba-48c5-bfb1-be24d2450fac.jpg?aki_policy=large","11305944","2014-01-14","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/11305944/profile_pic/1442356415/original.jpg?aki_policy=profile_x_medium","3","{email, phone, facebook, reviews, jumio}","t","40.86868175908337","-73.85482829173488","House","Entire home/apt","7","1.0","1","2","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Keypad,Private entrance}","2","3","22","2017-04-10","2017-09-22","96","10","9","10","10","9","10","strict","3.73","$110.00"
"5046189","https://a0.muscache.com/im/pictures/d66d3c0b-cccc-4889-bc18-8876cf4ffc2b.jpg?aki_policy=large","23732730","2014-11-14","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/5d63c93b-bb77-4318-949c-a3cb943cccb7.jpg?aki_policy=profile_x_medium","3","{email, phone, reviews, jumio}","t","40.87054096738221","-73.84680708823343","Apartment","Entire home/apt","6","1.0","1","4","Real Bed","{TV,Internet,Air conditioning,Wheelchair accessible,Kitchen,Hot tub,Indoor fireplace,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","2","1","38","2015-02-19","2017-09-04","96","9","9","10","10","9","9","strict","1.19","$200.00"
"773041","https://a0.muscache.com/im/pictures/52e27c6d-f253-4925-a6d1-e16f5d40f2e1.jpg?aki_policy=large","3684360","2012-09-26","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/3684360/profile_pic/1351002791/original.jpg?aki_policy=profile_x_medium","5","{email, phone, reviews, sent_id}","t","40.85913781799357","-73.86979421965525","Apartment","Private room","3","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","2","93","2012-12-12","2017-08-26","87","9","9","9","9","9","9","strict","1.59","$38.00"
"755528","https://a0.muscache.com/im/pictures/1d739b36-e7e6-4467-b060-ad75dbc336a1.jpg?aki_policy=large","3684360","2012-09-26","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/3684360/profile_pic/1351002791/original.jpg?aki_policy=profile_x_medium","5","{email, phone, reviews, sent_id}","t","40.85839659260934","-73.86968575313621","Apartment","Entire home/apt","3","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoke detector,Fire extinguisher,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","2","108","2012-10-30","2017-09-17","88","9","9","9","9","9","9","strict","1.80","$49.00"
"3429765","https://a0.muscache.com/im/pictures/94090949/5512e186_original.jpg?aki_policy=large","16286162","2014-06-02","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/9f6cea33-8e0f-4d24-884d-9d003f269cd6.jpg?aki_policy=profile_x_medium","4","{email, phone, reviews, kba}","t","40.8668887200942","-73.857756180011","House","Private room","1","1.0","1","1","Real Bed","{Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private living room,Private entrance,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Garden or backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout}","1","2","66","2014-09-08","2017-08-25","96","10","9","10","10","9","10","strict","1.77","$43.00"
"9331257","https://a0.muscache.com/im/pictures/ced58d74-3ad8-484a-a81d-8684a70a4629.jpg?aki_policy=large","4149899","2012-11-14","within a day","75%","N/A","f","https://a0.muscache.com/im/users/4149899/profile_pic/1400355411/original.jpg?aki_policy=profile_x_medium","2","{email, phone, reviews, kba}","t","40.85872806856071","-73.86996825743427","Apartment","Shared room","1","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Elevator,Heating,Shampoo}","1","2","8","2015-12-13","2016-07-30","98","10","10","10","10","10","10","moderate","0.36","$35.00"
"5647069","https://a0.muscache.com/im/pictures/70287453/9620d8ba_original.jpg?aki_policy=large","873273","2011-07-26","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/873273/profile_pic/1355433517/original.jpg?aki_policy=profile_x_medium","4","{email, phone, facebook, amex, reviews, jumio, kba}","t","40.86666784260982","-73.85634556161752","House","Private room","1","1.5","1","1","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","2","4","2015-03-28","2017-09-09","90","10","9","10","8","10","9","strict","0.13","$85.00"
"4462008","https://a0.muscache.com/im/pictures/61045542/cb89f925_original.jpg?aki_policy=large","16286162","2014-06-02","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/9f6cea33-8e0f-4d24-884d-9d003f269cd6.jpg?aki_policy=profile_x_medium","4","{email, phone, reviews, kba}","t","40.86814416518714","-73.85874498297198","House","Private room","2","1.5","1","2","Real Bed","{TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private living room,Private entrance,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Garden or backyard,Luggage dropoff allowed,Long term stays allowed,Wide doorway,Well-lit path to entrance}","1","2","75","2015-02-09","2017-09-24","90","9","9","10","10","8","9","moderate","2.33","$44.00"
"20449125","https://a0.muscache.com/im/pictures/09390c6e-b9cf-47f8-b0bb-271ae2fcb1ed.jpg?aki_policy=large","10725461","2013-12-20","within an hour","84%","N/A","f","https://a0.muscache.com/im/pictures/34ebea6b-5703-4294-8634-6b328e8c0997.jpg?aki_policy=profile_x_medium","1","{email, phone, facebook, reviews, manual_offline, jumio}","t","40.859292977025014","-73.8696068625731","Apartment","Entire home/apt","4","1.0","1","2","Real Bed","{TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Elevator,Indoor fireplace,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Wide hallway clearance,Wide doorway,Well-lit path to entrance,Step-free access,Wide doorway,Step-free access,Accessible-height toilet,Step-free access,Wide entryway}","2","2","5","2017-08-27","2017-09-28","100","10","10","10","10","10","10","moderate","4.05","$109.00"
"19242246","https://a0.muscache.com/im/pictures/d398a238-2a5b-4327-8c77-a3802a02e8dc.jpg?aki_policy=large","28840702","2015-03-05","within a few hours","90%","N/A","f","https://a0.muscache.com/im/pictures/eeaef199-7f88-48d5-ac76-2af398153c26.jpg?aki_policy=profile_x_medium","1","{email, phone, facebook, reviews}","f","40.77422405690915","-73.89833002331751","Townhouse","Entire home/apt","3","1.0","1","2","Real Bed","{Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Heating,Family/kid friendly,Smoke detector,First aid kit,Essentials,Shampoo,Lock on bedroom door,Laptop friendly workspace}","1","1","5","2017-06-25","2017-09-17","95","10","10","10","10","9","9","flexible","1.49","$120.00"
"16860045","https://a0.muscache.com/im/pictures/9cc9b865-745a-4c42-9f83-71b3a7b8b837.jpg?aki_policy=large","97127885","2016-09-28","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/48a025c8-26d9-4115-90bd-66075cd10348.jpg?aki_policy=profile_x_medium","1","{email, phone, google, reviews, kba}","t","40.76813843817451","-73.89573490866643","Apartment","Entire home/apt","3","1.0","2","2","Real Bed","{TV,Wireless Internet,Kitchen,Smoking allowed,Heating,Smoke detector,Fire extinguisher,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox}","2","1","17","2017-01-20","2017-10-01","98","10","9","10","10","10","10","strict","1.98","$52.00"
"8079482","https://a0.muscache.com/im/pictures/04b2b4c7-8f95-4b55-87af-df27b13344a7.jpg?aki_policy=large","29155779","2015-03-11","within a day","80%","N/A","f","https://a0.muscache.com/im/pictures/user/b44b563f-f909-4da4-8007-5392c6971544.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, kba}","t","40.77165365451834","-73.901770644381","Apartment","Entire home/apt","2","1.0","0","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Smoke detector,Carbon monoxide detector,Essentials}","2","1","39","2015-10-11","2017-09-17","99","10","10","10","10","10","10","moderate","1.62","$130.00"
"3043548","https://a0.muscache.com/im/pictures/40235352/94735245_original.jpg?aki_policy=large","5871260","2013-04-10","a few days or more","0%","N/A","f","https://a0.muscache.com/im/users/5871260/profile_pic/1400038212/original.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, kba}","t","40.772758801803946","-73.90220829960188","Apartment","Entire home/apt","4","1.0","1","2","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Essentials,Bed linens,Extra pillows and blankets}","1","3","9","2014-08-03","2016-10-29","91","10","8","10","10","10","9","strict","0.23","$100.00"
"13040683","https://a0.muscache.com/im/pictures/bafdb08d-6583-45a4-87c4-bbfa885d4e50.jpg?aki_policy=large","28868609","2015-03-06","N/A","N/A","N/A","f","https://a0.muscache.com/im/pictures/d72be3ad-a5e2-4600-8cf0-4fb775594a62.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, jumio}","t","40.77266351632031","-73.9026779910605","Apartment","Shared room","3","1.0","1","2","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Fire extinguisher,Essentials,Laptop friendly workspace,translation missing: en.hosting_amenity_50}","1","1","1","2016-05-23","2016-05-23","100","10","6","10","10","10","10","flexible","0.06","$100.00"
